ticker,date,size,scores,std,range
000100,2026-09-04,3,"[0.1, 0.1, 0.1]",1.3877787807814457e-17,0.0
003490,2026-09-06,2,"[0.2, 0.2]",0.0,0.0
003550,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
005930,2026-09-06,2,"[0.1, 0.1]",0.0,0.0
006260,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
010120,2026-09-06,3,"[0.2, 0.2, 0.1]",0.047140452079103175,0.1
028260,2026-09-04,2,"[0.5, 0.5]",0.0,0.0
030200,2026-09-06,2,"[0.3, 0.3]",0.0,0.0
032640,2026-09-06,2,"[0.2, 0.4]",0.1,0.2
034020,2026-09-04,2,"[0.2, 0.1]",0.05,0.1
035720,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
036930,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
039030,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
047050,2026-09-04,2,"[0.1, 0.1]",0.0,0.0
051910,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
062040,2026-09-04,2,"[0.6, 0.6]",0.0,0.0
064400,2026-09-06,2,"[0.2, 0.2]",0.0,0.0
066570,2026-09-06,2,"[0.2, 0.2]",0.0,0.0
078930,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
096770,2026-09-06,2,"[0.2, 0.2]",0.0,0.0
196170,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
207940,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
240810,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
241560,2026-09-04,2,"[0.4, 0.3]",0.05000000000000002,0.10000000000000003
247540,2026-09-04,2,"[0.2, 0.2]",0.0,0.0
267250,2026-09-04,3,"[0.2, 0.2, 0.2]",2.7755575615628914e-17,0.0
316140,2026-09-06,2,"[0.1, 0.2]",0.05,0.1
352820,2026-09-04,2,"[-0.6, -0.6]",0.0,0.0
