band,ticker,news_date,headline,sentiment_score,sentiment_label,summary,사람검토(동의/비동의),검토메모
고재료성_긍정,180640,2026-09-06,한진칼 지분 산 JAL…대한항공과 공동운항·MRO·SAF 전방위 ‘동맹...,0.5,POSITIVE,"대한항공과의 공동운항 등 시너지 효과 기대, 구체적 계약 필요.",,
고재료성_긍정,000880,2026-09-11,"한화운용 ‘PLUS 글로벌HBM반도체’, 상장 후 수익률 950% 돌파",0.8,POSITIVE,"한화운용, 상장 후 수익률 950%로 재무적 성장 확실.",,
고재료성_긍정,032830,2026-09-04,"?삼성SRA, 3430억 물류센터 딜 클로징…국민연금 코어펀드 ‘1호 ...",0.6,POSITIVE,3430억 물류센터 딜 클로징은 재무적 영향이 있을 수 있음.,,
고재료성_긍정,005490,2026-09-06,"현대제철, 美에 8조 원 투자 제철소 첫발…2029년 자동차 강판 생...",0.7,POSITIVE,"8조 원 투자로 장기적 매출 증가 기대, 구체적 수치 제시",,
고재료성_긍정,443060,2026-09-04,1.5조 계약 수주에 한화오션 7% 급등…조선주 ‘강세’ [코주부],0.7,POSITIVE,"1.5조 계약 수주로 조선주 강세, HD현대마린솔루션에 긍정적.",,
고재료성_긍정,005930,2026-09-12,"“구형 반도체라고 무시했는데, 주문 2배 폭주”…한달새 21% 뛴 DB...",0.5,POSITIVE,"주문 폭주로 실적 긍정적 전망 가능, 구체적 수치 제시.",,
고재료성_부정,009540,2026-09-11,"HD현대重 노조, 전체 조합원 4시간 부분파업 돌입",-0.5,NEGATIVE,부분파업으로 생산성 및 재무 성과 악영향 우려됨,,
고재료성_부정,005935,2026-09-11,유가·금리 급등에 삼전닉스 ‘뚝’… 코스피 7000선 내줬다,-0.6,NEGATIVE,"유가·금리 급등으로 시장 불안감, 삼성전자 주가 하락 가능성",,
고재료성_부정,402340,2026-09-11,"AI·반도체가 못 막은 중동 악재…코스피, 사흘 만에 7000선 무너졌...",-0.5,NEGATIVE,"중동 악재로 시장 상황 악화, 구체적 재무 영향 미칠 가능성.",,
고재료성_부정,373220,2026-09-11,코스피 1.76% 내린 6909.91 마감…3거래일 만에 7000선 내...,-0.6,NEGATIVE,"코스피 하락으로 인한 시장 불안, LG에너지솔루션 영향은 간접적.",,
고재료성_부정,000880,2026-09-11,"대기업 화관법 위반 89건…SK 21건으로 최다, 사상자 사고도 반복",-0.7,NEGATIVE,"대기업 화관법 위반, 피해 및 신뢰도 하락 우려.",,
고재료성_부정,006260,2026-09-11,"SK증권, 주가 하락에 LS 목표가↓…""하반기 실적 개선은 지속""",-0.5,NEGATIVE,"하반기 실적 개선 전망 하향 조정, 부정적 신호.",,
중립,105560,2026-09-11,치솟는 유가·금리에 다시 '6천피',0.0,NEUTRAL,"유가와 금리에 대한 상황 설명, 구체적 재무 정보 없음.",,
중립,066570,2026-09-12,"대기업 하반기 채용 본격화…""AI 활용한 문제 해결 능력 중시""[AI로...",0.1,NEUTRAL,재무 근거 없는 일반적인 채용 소식에 해당,,
중립,055550,2026-09-12,“3년물 4%·유가 100달러·환율 1345원…‘3高 트리플 쇼크’ 현...,0.1,NEUTRAL,재무 근거 없는 경제 상황 변화 언급,,
중립,267250,2026-09-06,다시 뛰는 ‘재계 거인’...롯데의 변신,0.1,NEUTRAL,"롯데의 변신, 재무적 영향 불명확.",,
중립,005490,2026-09-12,"대기업 하반기 채용 본격화…""AI 활용한 문제 해결 능력 중시""[AI로...",0.1,NEUTRAL,"재무 근거 없는 채용 관련 정보, 기업 전략에 영향은 미미",,
중립,207940,2026-09-06,美국채금리 안정에 외인·기관 복귀…코스피 1.6% 상승 마감(종합),0.0,NEUTRAL,"국채금리 안정, 종합적 시장 상황이나 삼성바이오 관련성 낮음.",,
애매한_중간,005930,2026-09-12,이찬진과 한글...한국 PC 레전드의 시작(상) [韓 IT열전]①,0.2,NEUTRAL,역사적 이야기에 불과하며 재무적 정보 없음.,,
애매한_중간,047040,2026-09-06,1호선 두정역 도보 8분 거리…국평 5억원대 '푸르지오 그랑피크'[르포...,0.3,NEUTRAL,"주거지와 관련, 매출 기여 불확실.",,
애매한_중간,009150,2026-09-11,"코스피, 외인·기관 조 단위 '팔자'…7000선 후퇴",-0.2,NEUTRAL,"시장 조정, 삼성전기 직접적인 재무 정보 없음.",,
애매한_중간,402340,2026-09-11,삼일천하로 끝난 ‘칠천피’…유가·금리 급등에 6900선으로 후퇴[투.....,-0.2,NEUTRAL,"주요 지수 회복 실패, SK스퀘어 재무 영향 불명확.",,
애매한_중간,018260,2026-09-12,세계로 눈 돌린 K-반도체…‘성능 경쟁’ 넘어 ‘고객 확보전’[빛이.....,0.2,NEUTRAL,고객 확보전 언급 하나로 재무적 영향 불확실,,
애매한_중간,028260,2026-09-11,"코스피, 美 CPI 발표 앞두고 1%대 하락…6900선은 지켜",-0.3,NEGATIVE,"코스피 하락, 전반적 시장 불안정성 반영.",,
