category,headline,expectedRange,expectedSign,actualScore,actualLabel,pass,summary
고재료성_호재,"OO전자, 자사주 5000억원 전량 소각 확정",[0.6,1.0],1,0.7,POSITIVE,true,"자사주 소각 결정, 주주가치 직접적으로 증가 가능성 존재."
고재료성_호재,"OO바이오, 미국 제약사와 1조원 규모 신약 기술수출 계약 체결",[0.6,1.0],1,0.8,POSITIVE,true,"1조원 규모 기술수출 계약 체결, 즉각적 재무 임팩트 발생."
고재료성_호재,"OO전자 3분기 영업이익 전년比 45%↑…시장 컨센서스 큰 폭 상회",[0.6,1.0],1,0.9,POSITIVE,true,"3분기 영업이익 대폭 증가, 시장 예상치를 초과 달성."
고재료성_호재,"OO건설, 사우디아라비아서 3조원 규모 초대형 플랜트 수주",[0.6,1.0],1,0.9,POSITIVE,true,"3조원 규모 초대형 플랜트 수주, 즉각적 재무 임팩트."
고재료성_악재,"OO그룹 회장, 2000억원대 배임·횡령 혐의로 구속기소",[0.6,1.0],-1,-0.7,NEGATIVE,true,"2000억원대 배임 혐의 구속기소, 경영진 리스크 발생."
고재료성_악재,"OO전자, 분식회계 혐의로 금융당국 특별감리 착수 및 검찰 고발",[0.6,1.0],-1,-0.8,NEGATIVE,true,"분식회계 혐의로 특별감리 착수, 재무적 여파 우려."
고재료성_악재,"OO바이오, 신약 후보물질 임상 3상 실패로 개발 전면 중단",[0.6,1.0],-1,-0.6,NEGATIVE,true,"신약 후보물질 임상 실패, 사업전망 급격히 악화."
고재료성_악재,"OO전자, 4분기 영업손실 전환…시장 예상치 크게 밑도는 어닝쇼크",[0.6,1.0],-1,-0.7,NEGATIVE,true,"4분기 영업손실 전환, 시장 예상치 크게 하회."
저재료성_PR,"OO전자, 임직원 봉사활동으로 지역사회와 상생 나서",[0.0,0.2],0,0.1,NEUTRAL,true,"임직원 봉사활동, 브랜드 이미지 개선으로 이어질 가능성."
저재료성_PR,"OO그룹, 창립 30주년 기념행사 성황리 개최",[0.0,0.2],0,0.1,NEUTRAL,true,"창립 30주년 행사 성공, 그러나 재무적 영향 없다고 판단."
저재료성_PR,"OO전자, ESG 경영 우수기업 3년 연속 선정",[0.0,0.2],0,0.2,NEUTRAL,true,"ESG 경영 우수기업 선정, 장기적 이미지 개선에 기여."
애매한_초기단계,"OO전자, 반도체 장비업체와 MOU 체결…구체적 계약 규모는 미정",[0.2,0.6],0,0.3,NEUTRAL,true,"MOU 체결, 그러나 계약 규모 및 시점 불명확."
애매한_초기단계,"OO바이오, 해외 유통사와 사업 협력 논의…세부 조건은 추후 확정",[0.2,0.6],0,0.2,NEUTRAL,true,"해외 유통사와 협력 논의, 구체적 세부사항 미비."
애매한_초기단계,"OO건설, 신사업 진출 검토 착수…구체적 시기와 규모는 불투명",[0.2,0.6],0,0.2,NEUTRAL,true,"신사업 검토 착수, 그러나 규모 및 시기가 불확실."
